
1983.1.23. 2:18:21	 -9
1983.10.24. 13:63:38	 -6
1978.-1.6. 2:7:37	 -8
1979.12.9. 10:6:38	 -14
1922.12.10. 9:3:50	 cica
1926.6.24. 18:9:50	 kutya
1944.7.3. 15:37:11	 31
1951.9.19. 7:2:3	 7
1987.7.29. 4:19:20	 39
1982.11.2. 18:37:14	 35
2015.12.7. 16:24:55	 43
1987.13.29. 25:64:5	 -5
1971.3.17. 2:33:2	 -21
1952.-1.33. 12:2:21	 -8
1966.2.21. 0:55:24	 -29
1988.10.16. 0:44:44	 1
1997.13.21. 4:50:20	 26
1940.4.13. 14:29:43	 15
1987.5.19. 2:8:44	 15
2000.7.7. 24:58:37	 -24
1951.-1.20. 22:47:3	 18
1932.1.27. 6:6:12	 cicakutya
1984.-1.29. 6:62:62	 20
1991.8.29. 4:0:56	 47
1953.1.22. 21:53:36	 -26
1961.5.11. 11:42:29	 27
1977.2.24. 15:0:1	 -22
1954.7.-1. 9:14:45	 -29
2009.9.13. 8:19:48	 -2
1986.13.34. 21:63:30	 30
2005.8.34. 0:37:21	 28
1922.-1.33. -1:-1:16	 cica
1952.10.11. 4:54:56	 9
1950.2.11. 0:51:16	 23
